team,position,full_name,height,weight,gsis_id,years_exp,week,draft_number,avg_time_to_throw,avg_intended_air_yards,aggressiveness,avg_air_yards_to_sticks,completion_percentage_above_expectation,max_air_distance,efficiency,percent_attempts_gte_eight_defenders,rush_yards,rush_yards_over_expected_per_att,avg_cushion,avg_separation,percent_share_of_intended_air_yards,catch_percentage,avg_yac_above_expectation,pass_attempt,rec_attempt,rush_attempt,pass_air_yards,rec_air_yards,pass_completions,receptions,pass_yards_gained,rec_yards_gained,rush_yards_gained,pass_touchdown,rec_touchdown,rush_touchdown,pass_interception,rec_fumble_lost,rush_fumble_lost,pass_yards_gained_diff,rec_yards_gained_diff,rush_yards_gained_diff,pass_touchdown_diff,rec_touchdown_diff,rush_touchdown_diff,pass_attempt_team,rec_attempt_team,rush_attempt_team,opponent,offense_snaps,offense_pct,team_home,team_away,total,spread_line,roof,surface,temp,wind,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,fantasy_points,rush_attempts,rush_ypa,rush_share,delta_targets,targets_3wk_avg,targets_7wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_7wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_7wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_7wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_7wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,racr,team_implied_points,is_favored,abs_spread,def_te_ftps,def_te_targets,def_te_yards_per_target,years_exp_filled,is_rookie,is_second_year,draft_number_filled,is_undrafted
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,5,129.0,,2.9866666666666655,,,,,,,,,7.630000000000001,3.291996620697738,11.919120255409716,77.77777777777779,0.5927784684213062,0.0,9.0,0.0,0.0,21.0,0.0,7.0,0.0,49.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-11.219999999999999,0.0,0.0,0.94,0.0,29.0,29.0,29.0,NYJ,33.0,0.55,NYJ,DAL,59.0,1.5,outdoors,fieldturf,82.0,3.0,9.0,21.0,0.55,0.3103448275862069,11.919120255409716,2.0,23.9,0.0,0.0,0.0,2.0,10.0,9.6,0.40000000000000036,26.333333333333332,38.2,-11.86666666666667,0.6333333333333333,0.6799999999999999,-0.046666666666666634,20.7,17.240000000000002,3.4599999999999973,1.0,0.6,0.4,0.0,5.444444444444445,0.2857142857142857,0.7777777777777778,2.6555555555555554,2.3333333333333335,30.25,1,1.5,7.00,7.62,6.996062992125984,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,14,129.0,,7.941428571428569,,,,,,,,,4.5249999999999995,3.089513908992807,11.485537190082647,71.42857142857143,-0.3847976291387627,0.0,7.0,0.0,0.0,61.0,0.0,5.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.9200000000000017,0.0,0.0,-0.4,0.0,47.0,47.0,24.0,DET,66.0,0.8,DET,DAL,74.0,3.5,dome,fieldturf,,,7.0,61.0,0.8,0.14893617021276595,11.485537190082647,0.0,8.8,0.0,0.0,0.0,1.0,6.333333333333333,5.571428571428571,0.7619047619047619,38.333333333333336,26.142857142857142,12.190476190476193,0.7333333333333334,0.7114285714285715,0.02190476190476187,9.5,10.0,-0.5,0.0,0.42857142857142855,-0.42857142857142855,0.3333333333333333,8.285714285714286,0.0,0.7142857142857143,1.2571428571428573,0.9508196721311475,38.75,1,3.5,7.00,7.62,6.996062992125984,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,8,129.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.92,0.0,0.0,-0.02,0.0,35.0,35.0,31.0,DEN,44.0,0.59,DEN,DAL,68.0,3.5,outdoors,grass,67.0,4.0,1.0,30.0,0.59,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,3.6666666666666665,7.571428571428571,-3.9047619047619047,22.333333333333332,31.857142857142858,-9.523809523809526,0.64,0.65,-0.010000000000000009,11.4,16.15714285714286,-4.757142857142858,1.0,0.8571428571428571,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,35.75,1,3.5,7.00,7.62,6.996062992125984,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,12,129.0,,5.739999999999999,,,,,,,,,8.376,2.6096778073916105,9.42193527207069,83.33333333333334,2.3255948548534464,0.0,6.0,1.0,0.0,35.0,0.0,5.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.159999999999997,-5.42,0.0,-0.67,0.0,36.0,36.0,31.0,PHI,51.0,0.69,DAL,PHI,45.0,-3.0,closed,matrixturf,,,6.0,35.0,0.69,0.16666666666666666,9.42193527207069,0.0,11.1,1.0,1.0,0.03225806451612903,1.0,6.0,5.428571428571429,0.5714285714285712,22.0,22.0,0.0,0.7399999999999999,0.6699999999999999,0.06999999999999995,10.233333333333333,12.685714285714283,-2.4523809523809508,0.3333333333333333,0.8571428571428571,-0.5238095238095237,0.3333333333333333,10.0,0.0,0.8333333333333334,1.8499999999999999,1.7142857142857142,24.0,1,3.0,4.38,6.54,5.033639143730887,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,7,129.0,,1.4571428571428575,,,,,,,,,8.133333333333335,3.3376505997036996,4.957954600690225,100.0,-0.1619132573083868,0.0,7.0,0.0,0.0,7.0,0.0,7.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-9.649999999999999,0.0,0.0,0.8,0.0,30.0,30.0,31.0,WAS,44.0,0.66,DAL,WAS,66.0,1.5,closed,matrixturf,,,7.0,7.0,0.66,0.23333333333333334,4.957954600690225,2.0,21.9,0.0,0.0,0.0,4.0,6.333333333333333,8.285714285714286,-1.9523809523809534,19.333333333333332,32.57142857142857,-13.238095238095237,0.6266666666666666,0.6757142857142858,-0.04904761904761923,19.366666666666664,17.2,2.1666666666666643,1.6666666666666667,0.8571428571428571,0.8095238095238096,0.0,4.142857142857143,0.2857142857142857,1.0,3.1285714285714286,4.142857142857143,32.25,0,1.5,10.77,6.85,8.96058394160584,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,3,129.0,,3.471428571428571,,,,,,,,,6.39375,3.6320569232656585,18.698780347043204,92.85714285714286,0.04086087481261558,0.0,14.0,0.0,0.0,42.0,0.0,13.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.840000000000003,0.0,0.0,-0.5,0.0,45.0,45.0,20.0,CHI,42.0,0.57,CHI,DAL,45.0,-1.5,outdoors,grass,82.0,4.0,14.0,42.0,0.57,0.3111111111111111,18.698780347043204,0.0,21.200000000000003,0.0,0.0,0.0,2.0,10.666666666666666,10.666666666666666,0.0,51.333333333333336,51.333333333333336,0.0,0.69,0.69,0.0,15.100000000000001,15.100000000000001,0.0,0.0,0.0,0.0,0.0,5.857142857142857,0.0,0.9285714285714286,1.5142857142857145,1.9523809523809523,21.75,0,1.5,7.00,7.62,6.996062992125984,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,2,129.0,,5.953333333333336,,,,,,,,,5.15,3.633565297236513,19.899167154118278,75.0,-0.6191383641906238,0.0,12.0,0.0,0.0,77.0,0.0,9.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.049999999999997,0.0,0.0,-0.06,0.0,52.0,52.0,28.0,NYG,65.0,0.73,DAL,NYG,77.0,4.5,closed,matrixturf,,,12.0,77.0,0.73,0.23076923076923078,19.899167154118278,0.0,16.8,0.0,0.0,0.0,6.0,9.0,9.0,0.0,56.0,56.0,0.0,0.75,0.75,0.0,12.05,12.05,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.75,1.4000000000000001,1.0129870129870129,36.25,0,4.5,6.31,7.08,6.464689265536723,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,11,129.0,,-1.4559999999999989,,,,,,,,,4.81,5.098652322794555,-3.359483156437469,80.0,-0.6011786297125603,0.0,5.0,0.0,0.0,-8.0,0.0,4.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.390000000000001,0.0,0.0,0.25,0.0,33.0,33.0,31.0,LV,42.0,0.63,LV,DAL,49.0,-3.5,dome,grass,,,5.0,-8.0,0.63,0.15151515151515152,-3.359483156437469,1.0,11.6,0.0,0.0,0.0,-2.0,4.333333333333333,5.571428571428571,-1.2380952380952381,20.333333333333332,19.285714285714285,1.0476190476190474,0.7066666666666667,0.6828571428571427,0.023809523809523947,6.533333333333334,13.528571428571427,-6.995238095238093,0.3333333333333333,1.0,-0.6666666666666667,0.0,3.2,0.25,0.8,2.32,-2.0,22.75,0,3.5,7.00,7.62,6.996062992125984,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,15,129.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,DAL,MIN,,5.5,closed,matrixturf,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,4.333333333333333,4.571428571428571,-0.23809523809523814,26.666666666666668,25.142857142857142,1.5238095238095255,0.5033333333333333,0.6171428571428572,-0.11380952380952392,5.8,6.871428571428571,-1.0714285714285712,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,0,5.5,7.62,7.38,6.952574525745258,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,6,129.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,30.0,0.0,3.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.760000000000002,0.0,0.0,0.31999999999999995,0.0,34.0,34.0,19.0,CAR,37.0,0.67,CAR,DAL,57.0,-3.0,outdoors,grass,68.0,15.0,3.0,30.0,0.67,0.08823529411764706,0.0,1.0,12.3,0.0,0.0,0.0,-6.0,6.333333333333333,8.5,-2.166666666666667,22.333333333333332,36.833333333333336,-14.500000000000004,0.6666666666666666,0.6783333333333333,-0.011666666666666714,17.733333333333334,16.416666666666668,1.3166666666666664,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,11.0,0.3333333333333333,1.0,4.1000000000000005,1.1,27.0,0,3.0,7.00,7.62,6.996062992125984,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,250.0,00-0038041,3,1,129.0,,5.3350000000000035,,,,,,,,,3.6559999999999997,3.4388680081489054,9.526502187434904,83.33333333333334,0.2961634786705347,0.0,6.0,0.0,0.0,35.0,0.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.07,0.0,0.0,-0.17,0.0,34.0,34.0,22.0,PHI,47.0,0.77,PHI,DAL,44.0,8.5,outdoors,grass,75.0,11.0,6.0,35.0,0.77,0.17647058823529413,9.526502187434904,0.0,7.300000000000001,0.0,0.0,0.0,0.0,6.0,6.0,0.0,35.0,35.0,0.0,0.77,0.77,0.0,7.300000000000001,7.300000000000001,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,0.0,0.8333333333333334,1.2166666666666668,0.6571428571428571,26.25,1,8.5,7.00,7.62,6.996062992125984,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,9,129.0,,5.392857142857143,,,,,,,,,5.204285714285715,3.168148966089429,9.392416401273884,71.42857142857143,1.2108962700434391,0.0,7.0,0.0,0.0,39.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.740000000000002,0.0,0.0,-1.0,0.0,39.0,39.0,21.0,ARI,60.0,0.9,DAL,ARI,44.0,3.5,closed,matrixturf,,,7.0,39.0,0.9,0.1794871794871795,9.392416401273884,0.0,8.0,0.0,0.0,0.0,6.0,5.0,6.857142857142857,-1.8571428571428568,25.333333333333332,26.428571428571427,-1.095238095238095,0.7166666666666667,0.6742857142857143,0.04238095238095241,9.966666666666667,14.900000000000002,-4.933333333333335,0.6666666666666666,0.8571428571428571,-0.19047619047619047,0.0,7.142857142857143,0.0,0.7142857142857143,1.1428571428571428,1.2820512820512822,20.25,0,3.5,8.62,7.77,7.870012870012871,3,0,0,129.0,0
DAL,TE,Jake Ferguson,77.0,244.0,00-0038041,3,4,129.0,,3.08857142857143,,,,,,,,,5.492857142857143,3.596029081001034,6.631088210035581,100.0,0.8940243602080815,0.0,7.0,0.0,0.0,16.0,0.0,7.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.060000000000002274,0.0,0.0,0.52,0.0,40.0,40.0,26.0,GB,54.0,0.78,DAL,GB,80.0,-7.0,closed,matrixturf,,,7.0,16.0,0.78,0.175,6.631088210035581,1.0,17.0,0.0,0.0,0.0,-7.0,11.0,9.75,1.25,45.0,42.5,2.5,0.6933333333333334,0.7125,-0.019166666666666665,18.333333333333332,15.575000000000001,2.758333333333331,0.3333333333333333,0.25,0.08333333333333331,0.0,5.714285714285714,0.14285714285714285,1.0,2.4285714285714284,2.5,43.5,1,7.0,6.77,7.85,5.8012738853503185,3,0,0,129.0,0
BAL,TE,Charlie Kolar,78.0,265.0,00-0038046,3,3,128.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,34.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.159999999999997,0.0,0.0,-0.02,0.0,28.0,28.0,19.0,DET,29.0,0.51,BAL,DET,68.0,4.5,outdoors,grass,74.0,7.0,3.0,34.0,0.51,0.10714285714285714,0.0,0.0,4.2,0.0,0.0,0.0,3.0,1.0,1.0,0.0,11.333333333333334,11.333333333333334,0.0,0.57,0.57,0.0,1.4000000000000001,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.6666666666666666,1.4000000000000001,0.6470588235294118,31.75,0,4.5,7.31,6.92,7.348265895953758,3,0,0,128.0,0
BAL,TE,Charlie Kolar,78.0,265.0,00-0038046,3,14,128.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,0.0,35.0,35.0,40.0,PIT,19.0,0.24,BAL,PIT,49.0,5.5,outdoors,grass,44.0,6.0,1.0,15.0,0.24,0.02857142857142857,0.0,0.0,2.9000000000000004,0.0,0.0,0.0,0.0,0.6666666666666666,1.1428571428571428,-0.47619047619047616,9.666666666666666,7.714285714285714,1.9523809523809517,0.24333333333333332,0.33285714285714285,-0.08952380952380953,1.866666666666667,3.885714285714286,-2.019047619047619,0.0,0.2857142857142857,-0.2857142857142857,0.0,19.0,0.0,1.0,2.9000000000000004,1.2666666666666666,21.75,0,5.5,9.54,8.46,7.437352245862884,3,0,0,128.0,0
BAL,TE,Charlie Kolar,78.0,265.0,00-0038046,3,4,128.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,KC,14.0,0.25,KC,BAL,57.0,-2.5,outdoors,grass,89.0,10.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.75,0.25,11.333333333333334,8.5,2.833333333333334,0.45,0.49,-0.03999999999999998,1.4000000000000001,1.05,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,0,2.5,5.38,6.38,7.5,3,0,0,128.0,0
BAL,TE,Charlie Kolar,78.0,265.0,00-0038046,3,8,128.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.83,0.0,22.0,22.0,35.0,CHI,25.0,0.4,BAL,CHI,46.0,2.5,outdoors,grass,60.0,2.0,1.0,5.0,0.4,0.045454545454545456,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.1428571428571429,3.3333333333333335,6.285714285714286,-2.952380952380952,0.41,0.4557142857142857,-0.04571428571428571,3.3333333333333335,2.0285714285714285,1.304761904761905,0.3333333333333333,0.14285714285714285,0.19047619047619047,0.0,10.0,1.0,1.0,8.0,2.0,21.75,0,2.5,7.31,7.38,7.588075880758808,3,0,0,128.0,0
